Kingdom,Phylum,Class,Order,Family,Genus,ScientificName,CommonName,Slug,Description,AltitudeRange,ConservationStatus,LegalStatus,IsSensitive,ThumbnailUrl
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Adhemarius,Adhemarius sexoculata,Polilla esfinge de seis ojos,adhemarius-sexoculata,Polilla de gran tamaño con patrones alares complejos que simulan ojos para disuadir depredadores. Es un polinizador nocturno especializado en flores de corola profunda.,500-2000 msnm,NE,False,False,
Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum macrophyllum,Helecho culantrillo,adiantum-macrophyllum,Helecho terrestre con frondas de pinnas grandes y distintivas. Es común en zonas sombreadas y húmedas del bosque andino.,500-2500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/111753441/original.jpg
Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum raddianum,Culantrillo de pozo,adiantum-raddianum,Helecho muy popular por sus frondas delicadas y finamente divididas. Es una especie cosmopolita adaptada a ambientes húmedos y sombreados.,1000-2500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/113545222/original.jpg
Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea angustifolia,Bromelia de hoja angosta,aechmea-angustifolia,Bromelia epífita o terrestre con inflorescencias llamativas. Desempeña un papel crucial en la retención de agua y nutrientes en el dosel del bosque.,500-2000 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,Ageratina pichinchensis,Tabaquillo,ageratina-pichinchensis,"Arbusto perenne ampliamente distribuido en los Andes, conocido por su capacidad de colonizar suelos degradados. Posee metabolitos secundarios con actividad antimicrobiana y cicatrizante.",2000-3500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/11756234/large.jpg
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaeactis,Aglaeactis cupripennis,Colibrí cobrizo,aglaeactis-cupripennis,Ave de alta montaña con plumaje iridiscente característico. Es un polinizador especializado de flores de páramo y bosque altoandino.,2800-4000 msnm,LC,True,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus coelestis,Silfo celeste,aglaiocercus-coelestis,Colibrí notable por la cola extremadamente larga y bifurcada del macho. Habita en el sotobosque de bosques nublados.,1200-2500 msnm,LC,True,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,Aglaiocercus kingii,Silfo colilargo,aglaiocercus-kingii,Colibrí de plumaje iridiscente verde esmeralda con una cola larga y elegante. Es un polinizador activo en los bordes de bosque.,1500-3000 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/177242930/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aiouea,Aiouea montana,Laurel de montaña,aiouea-montana,"Árbol de la familia Lauraceae, común en bosques andinos. Sus parientes cercanos son conocidos por contener aceites esenciales y compuestos aromáticos.",1800-2600 msnm,NE,False,False,
Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Alluaudomyia,Alluaudomyia,Jejenes depredadores,alluaudomyia,Género de pequeños dípteros conocidos por sus hábitos depredadores sobre otros insectos de menor tamaño. Son componentes críticos en la red trófica de ecosistemas acuáticos y semiacuáticos del Eje Cafetero.,0-3000 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/106812286/original.jpg
Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus acuminata,Aliso,alnus-acuminata,Árbol pionero de rápido crecimiento fundamental en la restauración ecológica de los Andes colombianos. Es altamente valorado por su capacidad de fijación de nitrógeno y su madera de calidad moderada.,1500-3200 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/179109712/large.jpeg
Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta seniculus,Mono aullador rojo,alouatta-seniculus,Primate de gran tamaño característico por sus vocalizaciones potentes que resuenan en los bosques andinos. Es una especie fundamental para la dispersión de semillas en el ecosistema.,0-2500 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Altinote,Altinote ozomene,Mariposa de los Andes,altinote-ozomene,"Mariposa neotropical que habita en los bosques montanos, siendo un polinizador importante para diversas especies de flora nativa.",1000-2500 msnm,NE,False,False,
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita muscaria,Hongo matamoscas,amanita-muscaria,"Hongo icónico de sombrero rojo con manchas blancas, asociado frecuentemente a plantaciones de pinos en zonas altas. Es conocido por sus propiedades psicoactivas y toxicidad.",2000-3000 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/6/6a/Amanita_muscaria_%2849147920947%29.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus aconia,Polilla tigre de Aconia,amastus-aconia,"Polilla de la familia Erebidae, subfamilia Arctiinae, caracterizada por patrones de coloración aposemática. Es una especie poco estudiada en el contexto de bioprospección química.",1000-2500 msnm,NE,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus coccinator,Polilla tigre roja,amastus-coccinator,Polilla de tamaño mediano con alas que presentan tonalidades rojizas y patrones oscuros. Habita en zonas boscosas del Eje Cafetero y es un componente importante de la biodiversidad de lepidópteros nocturnos.,1500-3000 msnm,NE,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus episcotosia,Polilla tigre oscura,amastus-episcotosia,Especie de polilla con coloración críptica que le permite mimetizarse con la corteza de los árboles. Es un indicador biológico de la salud de los ecosistemas de alta montaña.,2000-3500 msnm,NE,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,Amastus thalassina,Polilla tigre azulada,amastus-thalassina,Polilla con patrones de coloración distintivos que sugieren una estrategia de advertencia visual. Se encuentra en los estratos medios y altos de los bosques nublados.,1800-3200 msnm,NE,False,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,Amazilia tzacatl,Colibrí colirrojo,amazilia-tzacatl,Colibrí de tamaño mediano con plumaje verde brillante y cola de color castaño rojizo. Es una especie muy común y adaptable que frecuenta jardines y bordes de bosque en el Eje Cafetero.,0-2500 msnm,LC,True,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona mercenaria,Loro verde,amazona-mercenaria,Es un loro de tamaño mediano con plumaje predominantemente verde y una banda roja en las plumas de la cola. Habita principalmente en bosques montañosos y es conocido por sus vocalizaciones estridentes.,1000-3000 msnm,LC,True,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,Loro real,amazona-ochrocephala,Loro de tamaño grande con una distintiva mancha amarilla en la frente y corona. Es una especie muy inteligente y social que habita en zonas boscosas y áreas abiertas.,0-1500 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/174611229/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Icteridae,Amblycercus,Amblycercus holosericeus,Cacique piquiamarillo,amblycercus-holosericeus,Ave de plumaje negro intenso con un pico amarillo brillante y ojos claros. Es una especie esquiva que suele habitar en el sotobosque denso y bordes de bosque.,500-2500 msnm,LC,False,False,http://upload.wikimedia.org/wikipedia/commons/a/ad/Amblycercus_holosericeus.jpg
Animalia,Arthropoda,Insecta,Hemiptera,Naucoridae,Ambrysus,Ambrysus,Chinche de agua,ambrysus,Insecto acuático depredador que habita en corrientes de agua dulce. Posee adaptaciones morfológicas para la vida sumergida y es un indicador biológico de la calidad del agua.,500-2500 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/153545118/large.jpg
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelioides,Ampelioides tschudii,Cotinga escamosa,ampelioides-tschudii,Ave de tamaño mediano con un patrón de plumaje escamoso característico y colores oscuros. Es una especie propia de los bosques nublados andinos.,1200-2500 msnm,LC,False,False,
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelion,Ampelion rubrocristatus,Cotinga crestirroja,ampelion-rubrocristatus,"Ave de tamaño mediano con una cresta distintiva de color rojo intenso, característica de los bosques altoandinos. Es una especie de comportamiento solitario y frugívoro que habita el dosel del bosque.",2000-3500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/9/93/Ampelion_rubrocristatus_-NBII_Image_Gallery-a00278.jpg
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Ampelion,Ampelion rufaxilla,Cotinga gorgirrufa,ampelion-rufaxilla,Ave de plumaje grisáceo con una mancha característica de color castaño en la garganta. Habita en los estratos medios y altos de los bosques nublados andinos.,1800-3000 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Anacroneuria,Anacroneuria,Plecópteros de arroyo,anacroneuria,Insectos acuáticos cuyas ninfas habitan en arroyos de aguas limpias y oxigenadas. Son indicadores biológicos fundamentales de la calidad del agua en ecosistemas de montaña.,1000-3000 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/865814/original.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,Anartia amathea,Mariposa pavo real,anartia-amathea,"Mariposa de colores vibrantes, principalmente rojo, negro y blanco, común en áreas abiertas y bordes de bosque. Es una especie generalista que se adapta fácilmente a jardines y zonas rurales.",0-2000 msnm,LC,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,Anartia jatrophae,Mariposa blanca de los campos,anartia-jatrophae,"Mariposa de tonos crema y marrón con patrones distintivos, muy frecuente en zonas perturbadas y cultivos. Es una especie muy activa que cumple un rol importante como polinizador en ecosistemas intervenidos.",0-2500 msnm,LC,False,False,
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas andium,Pato andino,anas-andium,Ave acuática endémica de los Andes septentrionales que habita humedales y lagunas de alta montaña. Es una especie clave para el equilibrio ecológico de los ecosistemas de páramo y humedales altoandinos.,2500-4000 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/176713984/original.jpg
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas discors,Pato media luna,anas-discors,Pato migratorio que llega a los humedales colombianos durante el invierno boreal. Se caracteriza por una mancha blanca en la cara y es un visitante frecuente de los cuerpos de agua en zonas bajas y medias.,0-2600 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/1/1c/Anas_discors-001.jpg
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Pato real,anas-platyrhynchos,"Especie cosmopolita introducida en muchas regiones del mundo, aunque en Colombia su presencia es limitada y a menudo asociada a entornos domésticos o parques. Es el ancestro de la mayoría de los patos domésticos.",0-3000 msnm,LC,False,False,http://upload.wikimedia.org/wikipedia/commons/9/9c/Mallard_male_female.jpg
Animalia,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,Anchytarsus,Anchytarsus,Escarabajo de agua,anchytarsus,Género de escarabajos acuáticos cuyas larvas suelen encontrarse en ambientes de quebradas y ríos limpios. Son indicadores biológicos de la calidad del agua.,1000-2500 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/69789817/original.jpeg
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Ancognatha,Ancognatha scarabaeoides,Chisa,ancognatha-scarabaeoides,Escarabajo cuyas larvas son conocidas como 'chisas' o 'gusanos blancos' que habitan en el suelo. Son plagas agrícolas comunes en cultivos de papa y pastizales en la región andina.,1500-3000 msnm,NE,False,False,
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Ancognatha,Ancognatha vulgaris,Escarabajo de mayo,ancognatha-vulgaris,"Escarabajo de la subfamilia Dynastinae, común en zonas altoandinas. Sus larvas son conocidas por habitar en suelos orgánicos y materia en descomposición.",1800-3000 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Andesanthus,Andesanthus lepidotus,Sietecueros de monte,andesanthus-lepidotus,Arbusto o árbol pequeño característico de los bosques andinos. Se distingue por sus hojas con nervaduras prominentes y flores vistosas típicas de la familia Melastomataceae.,2000-3200 msnm,LC,False,False,
Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,Andigena hypoglauca,Tucán andino pechiazul,andigena-hypoglauca,"Ave de gran tamaño con plumaje colorido y pico robusto, habitante de los bosques nublados. Es una especie emblemática de los ecosistemas de alta montaña en los Andes.",2000-3500 msnm,NT,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/177039512/original.jpeg
Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,Andigena nigrirostris,Tucán andino piquinegro,andigena-nigrirostris,Ave frugívora que habita en el dosel de los bosques andinos. Desempeña un papel ecológico crucial como dispersor de semillas de diversas especies forestales.,1800-3000 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/173401700/large.jpg
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Andinia,Andinia pilosella,Orquídea miniatura,andinia-pilosella,Orquídea de tamaño diminuto con estructuras florales complejas. Es una especie altamente especializada que requiere condiciones microclimáticas muy específicas.,2000-3000 msnm,NE,True,False,
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Andinobates,Andinobates daleswansoni,Rana dardo de Swanson,andinobates-daleswansoni,Pequeña rana de hábitos diurnos endémica de la cordillera central de Colombia. Se caracteriza por su coloración aposemática que advierte sobre su toxicidad cutánea.,1500-2500 msnm,EN,True,True,
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Andinobates,Andinobates opisthomelas,Rana dardo de vientre negro,andinobates-opisthomelas,Anfibio de pequeño tamaño con una coloración distintiva que incluye una franja dorsal clara. Es una especie emblemática de los bosques nublados de Caldas y Antioquia.,1200-2200 msnm,VU,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/217272610/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,Aniba perutilis,Comino crespo,aniba-perutilis,"Árbol maderable de gran valor histórico en Colombia, conocido por su madera extremadamente resistente y aromática. Actualmente es muy escaso debido a la sobreexplotación pasada.",1000-2000 msnm,CR,True,True,https://inaturalist-open-data.s3.amazonaws.com/photos/11311037/large.jpeg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus igniventris,Tangara ventrirroja,anisognathus-igniventris,"Ave colorida de los bosques andinos, con plumaje negro y parches rojos intensos en el vientre. Es un componente clave de las bandadas mixtas en los Andes.",2000-3500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/174561595/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus lacrymosus,Tangara lagrimosa,anisognathus-lacrymosus,Ave de montaña con una mancha azul brillante bajo el ojo que le da su nombre común. Habita en el dosel y bordes de bosque altoandino.,2200-3600 msnm,LC,False,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus somptuosus,Tangara cianóptera,anisognathus-somptuosus,"Ave de plumaje colorido, principalmente azul y amarillo, característica de los bosques nublados del Eje Cafetero. Es una especie emblemática para la observación de aves debido a su comportamiento activo y llamativo.",1200-2500 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona cherimola,Chirimoya,annona-cherimola,Árbol frutal de clima frío moderado con frutos de pulpa cremosa y dulce. Es altamente valorado en la gastronomía regional por sus propiedades organolépticas.,1500-2500 msnm,LC,False,False,http://upload.wikimedia.org/wikipedia/commons/d/d1/Cherimoya_tree_hg.jpg
Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona rensoniana,Anón de monte,annona-rensoniana,"Especie silvestre del género Annona, menos conocida que la chirimoya, que crece en zonas de transición. Sus frutos son comestibles pero de menor tamaño y calidad comercial que sus parientes cultivados.",1000-2000 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/196297612/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis antonii,Lagarto de Antonio,anolis-antonii,Pequeño lagarto arborícola endémico de los Andes colombianos. Se caracteriza por su capacidad de cambiar de color y su comportamiento territorial.,1500-2800 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/178579325/original.jpg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis apollinaris,Lagarto de Apolinar,anolis-apollinaris,"Lagarto de tamaño pequeño a mediano, frecuente en zonas boscosas y áreas de cultivo del Eje Cafetero. Es una especie importante para el control biológico de insectos en ecosistemas locales.",1800-3000 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/110528167/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis eulaemus,Anolis de los Andes,anolis-eulaemus,"Lagarto arborícola de tamaño mediano con una coloración críptica que le permite mimetizarse en la vegetación del Eje Cafetero. Es una especie endémica de los Andes colombianos, sensible a la fragmentación de su hábitat.",1200-2400 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/178202703/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis heterodermus,Anolis de piel rugosa,anolis-heterodermus,Especie caracterizada por su piel con escamas prominentes y capacidad de cambiar de color. Habita principalmente en zonas boscosas y áreas de transición en la cordillera central.,2000-3500 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/172319426/large.jpg
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis quimbaya,Anolis de los Quimbayas,anolis-quimbaya,"Pequeño lagarto endémico de la región cafetera, nombrado en honor a la cultura Quimbaya. Presenta una morfología adaptada a la vida en arbustos y vegetación baja.",1500-2200 msnm,DD,True,False,
Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis ventrimaculatus,Anolis de vientre manchado,anolis-ventrimaculatus,"Lagarto distinguible por las manchas en su región ventral, adaptado a ambientes húmedos. Es un componente importante de la cadena trófica en los bosques premontanos.",1000-2000 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anteos,Anteos clorinde,Mariposa azufre gigante,anteos-clorinde,"Mariposa de gran tamaño con alas de color amarillo pálido, muy común en áreas abiertas y jardines del Eje Cafetero. Es una polinizadora activa de diversas especies vegetales.",0-2500 msnm,LC,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa drusilla,Mariposa drusilla,anthanassa-drusilla,"Pequeña mariposa de colores naranja y marrón, común en bordes de bosque y áreas abiertas. Es un polinizador importante en los ecosistemas del Eje Cafetero.",500-2000 msnm,LC,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Anthoptus,Anthoptus epictetus,Saltarín epicteto,anthoptus-epictetus,"Mariposa de la familia Hesperiidae, caracterizada por su vuelo rápido y errático. Se encuentra frecuentemente en zonas boscosas húmedas de la región andina.",1000-2200 msnm,LC,False,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,Anthracothorax nigricollis,Mango gorginegro,anthracothorax-nigricollis,Colibrí de tamaño mediano con un plumaje iridiscente distintivo en la garganta. Es un polinizador clave para diversas especies de plantas epífitas y arbustivas.,0-1500 msnm,LC,True,False,
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,Anthurium caramantae,Anturio de Caramanta,anthurium-caramantae,Planta epífita endémica de los Andes colombianos con hojas grandes y coriáceas. Es una especie de gran valor botánico por su distribución restringida.,1800-2500 msnm,VU,True,False,
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Anthurium,Anthurium crystallinum,Anturio cristalino,anthurium-crystallinum,Especie muy apreciada por sus hojas aterciopeladas con venación blanca brillante. Es una de las especies más buscadas en el mercado de plantas de interior a nivel global.,500-1500 msnm,LC,False,False,
Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus griseimembra,Mico nocturno de manos grises,aotus-griseimembra,"Es un primate nocturno endémico de Colombia, caracterizado por sus grandes ojos adaptados a la visión en baja luminosidad. Habita principalmente en bosques húmedos y fragmentados de la región andina y el Caribe.",0-1500 msnm,VU,True,False,
Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus lemurinus,Mico nocturno andino,aotus-lemurinus,Pequeño primate de hábitos nocturnos que habita los bosques andinos colombianos. Es una especie clave para el equilibrio de los ecosistemas de alta montaña y piedemonte.,1000-2500 msnm,VU,True,False,https://farm7.staticflickr.com/6001/6199616555_6c454c0224.jpg
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Apeiba,Apeiba membranacea,Peine de mico,apeiba-membranacea,Árbol de mediano porte con frutos característicos en forma de cápsula espinosa que recuerdan a un peine. Es una especie pionera común en bosques secundarios y bordes de camino.,0-1200 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/150805876/large.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,Aphelandra runcinata,Aphelandra,aphelandra-runcinata,"Planta herbácea o arbustiva con inflorescencias vistosas, típica de los sotobosques húmedos andinos. Es valorada por su gran atractivo ornamental debido a la forma y color de sus brácteas.",1500-2800 msnm,LC,False,False,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,Abeja melífera,apis-mellifera,"Especie cosmopolita introducida, fundamental para la polinización de cultivos y la producción de miel, polen, propóleo y jalea real. Es un pilar de la economía rural en el Eje Cafetero.",0-3000 msnm,NE,False,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara ararauna,Guacamaya azulamarilla,ara-ararauna,"Ave de gran tamaño con plumaje azul y amarillo brillante, característica de zonas tropicales. Es una especie altamente social y longeva que habita en bosques húmedos y áreas abiertas cercanas a cuerpos de agua.",0-1500 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/2/2d/Ara-ararauna-0016a.jpg
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara macao,Guacamaya roja,ara-macao,"Ave majestuosa con plumaje predominantemente rojo, amarillo y azul. Es un símbolo de la biodiversidad neotropical y requiere grandes extensiones de bosque para su anidación y alimentación.",0-1000 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/1/12/Ara_macao_-Puntarenas_Province%2C_Costa_Rica-8.jpg
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara severus,Guacamaya severa,ara-severus,"Guacamaya de tamaño mediano, predominantemente verde con parches rojos y azules en las alas. Es una especie más adaptable que otras del género, habitando bordes de bosque y zonas intervenidas.",0-1500 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/0/02/Ara_severa_-Chestnut-fronted_Macaw-two_in_aviary.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Aragoa,Aragoa occidentalis,Aragoa,aragoa-occidentalis,Arbusto endémico de los ecosistemas de alta montaña en los Andes colombianos. Se caracteriza por su resistencia a condiciones extremas de páramo y su importancia en la estructura del suelo.,2800-4000 msnm,NT,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/8579620/original.jpg
Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,Araneus granadensis,Araña tejedora,araneus-granadensis,Araña de jardín conocida por sus grandes telas orbiculares. Es un controlador biológico natural de insectos en ecosistemas agrícolas y forestales.,1000-3000 msnm,NE,False,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,Aratinga pertinax,Perico cara sucia,aratinga-pertinax,"Ave psitácida de tamaño mediano con plumaje predominantemente verde y una mancha característica de color amarillo o naranja en la cara. Es una especie muy adaptable que habita en zonas abiertas, bordes de bosque y áreas rurales.",0-1500 msnm,LC,True,False,
